Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
White,F,Intergovernment Relations,36,73.47,R,A
White,M,Seattle Dept of Transportation,56,26.09,T,A
White,F,Information Technology,53,49.32,T,A
White,F,Parks & Recreation,18,16.92,T,A
White,M,Parks & Recreation,17,16.92,T,A
White,M,Seattle City Light,37,51.87,R,A
White,M,Fire Department,43,38.28,R,A
White,M,Law Department,39,58.383,R,A
White,M,Police Department,48,60.77,R,A
White,M,Seattle City Light,28,20.3,T,A
White,F,Finance & Admin Services,42,45.45,R,A
White,M,Human Services Department,46,22.59,T,A
White,M,Police Department,57,61.02,R,A
White,M,Fire Department,59,67.17,R,A
White,M,Finance & Admin Services,53,35.43,R,A
White,M,Police Department,55,64.35,R,A
White,M,Seattle Dept of Transportation,48,52.13,R,A
White,F,Parks & Recreation,59,17.59,T,A
White,F,Seattle Public Library,22,19.34,R,A
White,M,Human Services Department,16,16,T,A
White,F,Information Technology,60,56.182,R,A
White,F,Seattle Dept of Transportation,32,43.68,R,A
White,M,Police Department,33,55.91,R,A
White,M,Seattle Public Utilities,37,50.27,R,A
White,M,Fire Department,52,44.38,R,A
White,M,Information Technology,33,60,R,A
White,M,Fire Department,50,44.38,R,A
White,M,Parks & Recreation,21,16.11,T,A
White,F,Human Services Department,41,49,R,A
White,M,Seattle Public Utilities,55,43.26,R,A
White,M,Office of Economic Development,54,42.876,R,A
White,M,Fire Department,30,40.13,R,A
White,M,Seattle City Light,54,53.895,R,A
White,M,Seattle City Light,52,32.02,R,A
White,M,Seattle Center,83,16.11,T,A
White,F,Employees' Retirement System,57,55.58,R,A
White,F,Seattle Center,59,31,T,A
White,M,Police Department,38,55.91,R,A
White,F,Seattle City Light,35,18.65,T,A
White,M,Fire Department,51,42.53,R,A
White,F,Seattle Center,52,33.71,R,A
White,M,Information Technology,56,52.186,R,A
White,F,Seattle City Light,42,54.9,R,A
White,M,Parks & Recreation,18,16.92,T,A
White,M,Municipal Court,46,43.91,R,A
White,F,Parks & Recreation,18,16.92,T,A
White,M,Seattle Public Library,36,24.71,R,A
White,F,Parks & Recreation,20,16.11,T,A
White,M,Seattle Center,49,31.26,T,A
White,M,Fire Department,42,43.46,R,A
White,F,Human Services Department,56,47.5,R,A
White,M,Fire Department,53,53.06,R,A
White,M,Police Department,70,34.07,R,A
White,M,Seattle City Light,61,44.51,R,A
White,M,Police Department,57,83.81,R,A
White,F,Seattle Public Utilities,63,58.53,R,A
White,F,Police Department,49,60,R,A
White,M,Seattle Center,52,31.26,T,A
White,M,Parks & Recreation,52,19.83,T,A
White,M,Seattle City Light,49,54.04,R,A
White,M,Finance & Admin Services,54,37.72,R,A
White,F,Police Department,55,59.24,R,A
White,F,Parks & Recreation,59,36.28,R,A
White,F,Parks & Recreation,58,22.08,T,A
White,M,Parks & Recreation,32,31.18,R,A
White,M,Construction & Inspections,36,32.17,R,A
White,M,Fire Department,37,36.43,R,A
White,M,Human Services Department,39,32.81,R,A
White,F,Police Department,50,60.77,R,A
White,F,Human Services Department,58,29.29,T,A
White,F,Education & Early Learning,39,53.96,R,A
White,F,Seattle Dept of Human Resource,42,52.962,R,A
White,M,Police Department,35,52.85,R,A
White,F,Parks & Recreation,30,30.59,R,A
White,M,Seattle Dept of Transportation,48,30.76,R,A
White,M,Finance & Admin Services,51,68.05,R,A
White,F,Seattle Center,64,16.11,T,A
White,F,Seattle Public Utilities,58,55.345,R,A
White,M,Parks & Recreation,61,16.11,T,A
White,M,Seattle City Light,50,56.66,R,A
White,M,Police Department,51,66.99,R,A
White,M,Seattle Center,60,38.1,R,A
White,M,Fire Department,47,48.07,R,A
White,M,Construction & Inspections,62,57,R,A
White,F,Parks & Recreation,36,27.18,R,A
White,M,Seattle City Light,26,16.14,R,A
White,M,Finance & Admin Services,30,27.14,R,A
White,M,Police Department,38,52.09,R,A
White,M,Information Technology,60,55.476,R,A
White,M,Seattle Dept of Transportation,48,31.63,T,A
White,F,Seattle City Light,54,56.66,R,A
White,M,Seattle City Light,28,36.76,R,A
White,M,Information Technology,63,42.406,R,A
White,M,Seattle Dept of Transportation,46,24.28,T,A
White,M,Police Department,59,84.56,R,A
White,M,Parks & Recreation,34,16,T,A
White,M,Seattle City Light,61,54.64,R,A
White,F,Seattle Dept of Human Resource,61,25.17,R,A
White,F,Fire Department,63,32.81,R,A
White,F,Human Services Department,43,25.17,T,A
White,M,Fire Department,44,48.07,R,A
White,M,Seattle Center,65,19.09,R,A
White,F,Municipal Court,40,29.96,T,A
White,M,Fire Department,46,36.43,R,A
White,M,Police Department,58,61.02,R,A
White,M,Police Department,49,56.04,R,A
White,M,Fire Department,49,55.19,R,A
White,M,Seattle Public Utilities,66,48.09,R,A
White,F,Seattle Public Library,54,39.95,R,A
White,M,Police Department,38,55.91,R,A
White,M,Information Technology,58,61.978,R,A
White,F,Information Technology,53,47.89,R,A
White,M,Police Department,42,48.71,R,A
White,M,Seattle Public Utilities,59,63.616,R,A
White,M,Fire Department,56,44.38,R,A
White,M,Information Technology,57,64.733,R,A
White,M,Police Department,56,58.22,R,A
White,F,Police Department,53,45.828,R,A
White,M,Fire Department,51,72.44,R,A
White,M,Fire Department,47,44.38,R,A
White,M,Parks & Recreation,63,26.09,R,A
White,F,Parks & Recreation,63,30.39,R,A
White,F,Human Services Department,56,34.07,R,A
White,M,Seattle Public Utilities,37,33.66,R,A
White,M,Parks & Recreation,20,16.73,T,A
White,F,Seattle City Light,29,49.41,R,A
White,M,Municipal Court,53,68.514,R,A
White,M,Human Services Department,29,44.57,R,A
White,M,Parks & Recreation,18,16.92,T,A
White,M,Police Department,45,57.2,R,A
White,M,Seattle Center,51,31.26,T,A
White,M,Fire Department,56,50.18,R,A
White,M,Police Department,57,60,R,A
White,F,Police Department,50,31.49,R,A
White,M,Seattle Center,31,31.26,T,A
White,F,Human Services Department,34,41.89,R,A
White,F,Seattle Public Utilities,41,46.61,R,A
White,M,Seattle City Light,21,26.09,R,A
White,M,Seattle Dept of Transportation,33,37.59,R,A
White,F,Seattle Public Library,47,47.73,R,A
White,F,Seattle Dept of Transportation,30,20.3,T,A
White,M,Fire Department,34,40.87,R,A
White,M,Construction & Inspections,66,47.04,R,A
White,M,Seattle Dept of Transportation,54,44.51,R,A
White,M,Information Technology,40,43.44,R,A
White,M,Seattle Dept of Transportation,54,38.77,R,A
White,M,Fire Department,48,43.27,R,A
White,M,Construction & Inspections,38,28.2,R,A
White,M,Fire Department,54,45.12,R,A
White,M,Seattle City Light,32,33.72,R,A
White,M,Parks & Recreation,51,16,T,A
White,F,Finance & Admin Services,59,49.5,T,A
White,M,Fire Department,44,53.31,R,A
White,M,Seattle Public Utilities,47,32.35,R,A
White,F,Seattle Public Utilities,34,25.24,R,A
White,M,Fire Department,32,34.58,R,A
White,M,Seattle Dept of Transportation,52,50.18,R,A
White,M,Police Department,32,52.09,R,A
White,M,Seattle City Light,36,48.09,R,A
White,M,Police Department,40,61.1,R,A
White,M,Parks & Recreation,39,67.0498,R,A
White,M,Seattle City Light,60,62.59,R,A
White,M,Seattle Public Library,66,40.6,R,A
White,M,Seattle City Light,61,50.18,R,A
White,M,Seattle City Light,64,51.87,R,A
White,F,Seattle City Light,35,44.19,R,A
White,F,Seattle Public Utilities,55,52.614,R,A
White,M,Police Department,31,44.75,R,A
White,M,Law Department,29,37.8,R,A
White,F,Parks & Recreation,16,16.92,T,A
White,M,Seattle Dept of Transportation,39,37.04,R,A
White,M,Parks & Recreation,51,16.11,T,A
White,M,Seattle City Light,58,56.66,R,A
White,F,Seattle Dept of Transportation,52,38.98,R,A
White,M,Seattle Public Utilities,50,38.24,R,A
White,M,Parks & Recreation,58,27.18,R,A
White,M,Police Department,46,58.46,R,A
White,M,Fire Department,45,48.45,R,A
White,M,Parks & Recreation,60,23.58,R,A
White,M,Seattle City Light,38,45.53,R,A
White,M,Police Department,58,59.75,R,A
White,M,Fire Department,50,44.38,R,A
White,M,Construction & Inspections,52,45.45,R,A
White,F,Police Department,54,41.83,R,A
White,M,Seattle Public Utilities,34,24.28,R,A
White,M,Police Department,29,52.09,R,A
White,M,Information Technology,48,49.016,R,A
White,F,Seattle Dept of Transportation,58,49.77,R,A
White,F,Seattle Public Library,35,28.84,R,A
White,M,Seattle Public Utilities,61,36.75,R,A
White,M,Police Department,56,56.17,R,A
White,F,Police Department,45,52.71,R,A
White,F,Seattle Public Library,46,39.95,R,A
White,F,Seattle Center,54,16.11,T,A
White,M,Parks & Recreation,68,22.19,T,A
White,F,Parks & Recreation,61,26.09,R,A
White,M,Seattle City Light,49,35.76,R,A
White,M,Seattle City Light,40,50.36,R,A
White,F,Human Services Department,36,32.81,R,A
White,F,Seattle Center,70,16.11,T,A
White,M,Fire Department,57,48.07,R,A
White,F,Municipal Court,35,25.17,R,A
White,M,Seattle City Light,63,50.36,R,A
White,M,Police Department,51,26.86,R,A
White,M,Police Department,41,55.91,R,A
White,F,Parks & Recreation,35,18,T,A
White,M,Seattle Public Library,44,28.54,R,A
White,M,Seattle City Light,49,58.36,R,A
White,F,Police Department,46,55.91,R,A
White,F,Police Department,59,46.13,R,A
White,M,Seattle Public Utilities,54,49.77,R,A
White,F,Seattle Public Library,45,39.95,R,A
White,F,Seattle Public Utilities,37,50.18,R,A
White,M,Finance & Admin Services,54,37.72,R,A
White,M,Fire Department,54,43.27,R,A
White,M,Seattle Dept of Transportation,29,31.63,T,A
White,M,Seattle Dept of Transportation,49,59.5019,R,A
White,M,Seattle City Light,32,38.98,R,A
White,M,Fire Department,46,55.19,R,A
White,M,Construction & Inspections,50,57.81,R,A
White,F,Information Technology,53,57.622,R,A
White,M,Seattle Public Library,53,46.06,R,A
White,M,Seattle City Light,45,51.87,R,A
White,M,Parks & Recreation,40,16.11,T,A
White,F,Seattle Public Utilities,55,43.26,R,A
White,M,Fire Department,53,44.38,R,A
White,F,Police Department,57,27.18,R,L
White,M,Fire Department,35,40.87,R,A
White,M,Fire Department,54,66.56,R,A
White,M,Police Department,40,53.87,R,A
White,M,Finance & Admin Services,62,51.933,R,A
White,M,Parks & Recreation,25,23.58,R,A
White,M,Police Department,24,26.85,R,A
White,M,Seattle Public Utilities,40,23.93,R,A
White,M,Seattle Public Utilities,33,56.37,R,A
White,F,Finance & Admin Services,41,85.5,R,A
White,M,Seattle Dept of Transportation,41,46.13,R,A
White,M,Fire Department,50,46.23,R,A
White,M,Police Department,52,60,R,A
White,M,Finance & Admin Services,58,80.134,R,A
White,M,Seattle Public Utilities,40,35.16,R,A
White,F,Seattle Center,77,16.11,T,A
White,F,Police Department,65,24.28,T,A
White,F,Law Department,28,35.67,R,A
White,M,Police Department,39,53.87,R,A
White,F,Seattle Center,28,31.26,T,A
White,F,Construction & Inspections,63,41.89,R,A
White,M,Fire Department,44,48.45,R,A
White,M,Parks & Recreation,36,29.43,R,A
White,F,Police Department,49,27.18,R,A
White,F,Parks & Recreation,28,16.11,T,A
White,M,Police Department,52,58.22,R,A
White,M,Seattle Public Utilities,52,58.53,R,A
White,M,Seattle Public Utilities,58,33.98,R,A
White,M,Construction & Inspections,49,57.81,R,A
White,F,Parks & Recreation,51,22.08,T,A
White,M,Seattle Dept of Transportation,42,30.5,R,A
White,M,Police Department,33,55.91,R,A
White,M,Education & Early Learning,40,51.88,R,A
White,F,Legislative Department,46,40.48,R,A
White,M,Seattle Dept of Transportation,33,47.18,R,A
White,M,Finance & Admin Services,57,35.89,R,A
White,M,Fire Department,36,42.72,R,A
White,F,Legislative Department,30,25.62,R,A
White,M,Parks & Recreation,36,26.09,R,A
White,M,Fire Department,45,43.46,R,A
White,M,Seattle Center,54,31.26,T,A
White,M,Fire Department,56,43.46,R,A
White,M,Seattle City Light,55,41.06,R,A
White,M,Seattle Public Utilities,48,67.05,R,A
White,M,Police Department,33,27.74,R,A
White,M,Fire Department,35,40.87,R,A
White,F,Human Services Department,67,29.29,T,A
White,F,Police Department,46,56.17,R,A
White,M,Seattle Center,75,22.16,R,A
White,M,Construction & Inspections,74,56.482,R,A
White,M,Parks & Recreation,61,30.39,R,A
White,M,Finance & Admin Services,54,37.72,R,A
White,M,Seattle Center,56,27.89,R,A
White,M,Parks & Recreation,54,37.68,R,A
White,M,Fire Department,40,41.61,R,A
White,M,Human Services Department,38,34.07,R,A
White,M,Fire Department,34,41.24,R,A
White,M,Seattle Public Library,61,30.2,R,A
White,M,Information Technology,50,47.38,R,A
White,M,Fire Department,39,49.37,R,A
White,M,Seattle Dept of Transportation,53,50.18,R,A
White,M,Parks & Recreation,59,27.18,R,A
White,M,Fire Department,42,41.61,R,A
White,M,Seattle City Light,57,58.36,R,A
White,F,Municipal Court,60,29.75,R,A
White,F,Parks & Recreation,64,16.11,T,A
White,F,Parks & Recreation,41,16.11,T,A
White,F,Seattle Public Library,37,39.95,R,A
White,M,Human Services Department,43,34.07,R,A
White,M,Construction & Inspections,65,48.04,R,A
White,M,Seattle Dept of Transportation,51,37.23,R,A
White,M,Seattle Public Library,51,48.38,R,A
White,M,Seattle City Light,24,25.84,R,A
White,F,Seattle Dept of Transportation,71,55,R,A
White,M,Fire Department,24,30.88,R,A
White,M,Municipal Court,64,26.5,T,A
White,M,Seattle Dept of Transportation,42,27.18,R,A
White,M,Seattle Dept of Transportation,45,34.06,R,A
White,M,Seattle Public Utilities,38,54.9,R,A
White,F,Seattle Public Utilities,45,67.91,R,A
White,M,Police Department,49,58.46,R,A
White,M,Police Department,51,63.17,R,A
White,M,Seattle City Light,47,29.56,R,A
White,M,Seattle City Light,64,38.29,R,A
White,M,Seattle Public Library,46,39.95,R,A
White,M,Fire Department,40,36.43,R,A
White,M,Finance & Admin Services,57,69.616,R,A
White,M,Information Technology,55,44,T,A
White,F,Construction & Inspections,52,40.48,R,A
White,M,Fire Department,52,46.23,R,A
White,F,Seattle Public Library,32,36.27,R,A
White,F,Fire Department,38,45.31,R,A
White,F,Seattle Public Utilities,33,42.92,R,A
White,M,Seattle Center,64,16.11,T,A
White,M,Police Department,25,28.99,R,A
White,M,Seattle Public Utilities,62,50.18,R,A
White,M,Seattle City Light,53,54.0094,R,A
White,M,Police Department,40,55.15,R,A
White,M,Parks & Recreation,39,35.43,R,A
White,M,Seattle City Light,60,67,R,A
White,M,Seattle City Light,31,51.87,R,A
White,F,Parks & Recreation,38,38.98,R,A
White,F,Seattle Public Library,54,39.95,R,A
White,M,Parks & Recreation,32,29.56,R,L
White,M,Construction & Inspections,62,51.65,R,A
White,M,Finance & Admin Services,65,38.86,R,A
White,M,Parks & Recreation,52,16,T,A
White,F,Law Department,36,36.13,R,A
White,F,Seattle Dept of Transportation,21,21.61,T,A
White,M,Seattle City Light,40,47.99,R,A
White,F,Seattle Dept of Human Resource,61,63.56,R,A
White,M,Police Department,47,57.2,R,A
White,M,Finance & Admin Services,36,44.57,R,A
White,F,Municipal Court,63,27.18,R,A
White,F,Construction & Inspections,41,55.86,R,A
White,F,Seattle City Light,34,30.01,R,A
White,M,Fire Department,61,60.73,R,A
White,M,Seattle City Light,49,32.21,R,A
White,M,Police Department,31,52.09,R,A
White,F,Seattle Center,63,19.05,T,A
White,F,Finance & Admin Services,40,51.375,R,A
White,M,Seattle Public Utilities,62,54.442,R,A
White,M,Seattle Center,67,16.11,T,A
White,F,Police Department,38,55.91,R,A
White,M,Fire Department,25,32.73,R,A
White,F,Education & Early Learning,44,26.65,T,A
White,M,Seattle Dept of Transportation,27,20.3,T,A
White,M,Parks & Recreation,28,16.11,T,A
White,F,Seattle Public Utilities,42,34.36,R,A
White,M,Fire Department,45,41.61,R,A
White,M,Seattle Center,65,21.61,R,A
White,M,Information Technology,66,40.48,R,A
White,F,Parks & Recreation,57,40.48,R,A
White,F,Seattle Public Utilities,56,58.53,R,A
White,F,Seattle City Light,40,16.14,R,A
White,M,Construction & Inspections,49,51.65,R,A
White,M,Police Department,33,55.91,R,A
White,M,Seattle Dept of Transportation,56,60.14,R,A
White,F,Finance & Admin Services,67,37.59,R,A
White,F,Seattle Center,56,27.18,R,A
White,F,Seattle City Light,40,36.79,R,A
White,M,Seattle Public Utilities,53,62.421,R,A
White,M,Parks & Recreation,30,27.06,R,A
White,M,Seattle Public Utilities,62,29.56,R,A
White,M,Information Technology,59,67.507,R,A
White,F,Seattle Public Library,36,24.71,R,A
White,M,Police Department,46,55.91,R,A
White,M,Finance & Admin Services,34,29.56,R,A
White,M,Seattle Public Utilities,47,63.055,R,A
White,M,Seattle Center,38,31.26,T,A
White,M,Police Department,33,55.91,R,A
White,F,Municipal Court,70,51.881,R,A
White,M,Seattle City Light,50,51.87,R,A
White,M,Seattle Dept of Transportation,55,32.18,R,A
White,M,Seattle Public Utilities,49,49.77,R,A
White,M,Fire Department,34,40.87,R,A
White,F,Seattle Center,65,16.11,T,A
White,F,Police Department,45,64.35,R,A
White,M,Police Department,72,30.71,R,A
White,M,Seattle Public Utilities,44,31.13,R,A
White,M,Police Department,51,55.91,R,A
White,F,Finance & Admin Services,49,50.78,R,A
White,M,Police Department,58,27.95,R,A
White,M,Office of Housing,36,42.06,R,A
White,M,Police Department,45,30.71,R,A
White,M,Seattle Center,68,16.11,T,A
White,M,Parks & Recreation,19,16.92,T,A
White,M,Seattle Dept of Transportation,40,42.85,R,A
White,F,Information Technology,48,59.709,R,A
White,M,Police Department,48,53.87,R,A
White,M,Police Department,37,44.75,R,A
White,M,Information Technology,57,55.197,R,A
White,F,Parks & Recreation,30,16.11,T,A
White,F,Seattle City Light,58,36.79,R,A
White,M,Seattle City Light,45,29.56,R,A
White,F,Finance & Admin Services,55,29.59,R,A
White,M,Police Department,38,47.9,R,A
White,F,Seattle Public Utilities,53,54.899,R,A
White,M,Police Department,42,55.15,R,A
White,M,Parks & Recreation,51,48.97,R,A
White,F,Fire Department,50,50.11,R,A
White,M,Seattle Public Utilities,47,31.13,R,A
White,M,Police Department,37,55.91,R,A
White,M,Seattle City Light,39,57.91,R,A
White,M,Seattle City Light,57,50.36,R,A
White,M,Seattle Public Utilities,57,30.39,R,A
White,M,Seattle Dept of Transportation,36,47.97,T,A
White,M,Seattle Dept of Transportation,30,50.28,T,A
White,M,Police Department,54,59.23,R,A
White,F,Seattle Public Utilities,50,30.47,R,A
White,M,Seattle Public Utilities,51,58.53,R,A
White,F,Construction & Inspections,62,48.79,R,A
White,F,Fire Department,56,47.15,R,A
White,F,Seattle Public Utilities,49,29.56,R,A
White,F,Seattle Center,49,37.59,R,A
White,M,Police Department,46,55.91,R,A
White,F,Seattle City Light,67,29.29,R,A
White,M,Police Department,35,52.09,R,A
White,M,Seattle Center,55,36.09,R,A
White,F,Seattle Public Library,25,23.54,R,A
White,M,Police Department,33,44.75,R,A
White,M,Seattle City Light,42,48.09,R,A
White,F,Parks & Recreation,24,19.83,T,A
White,M,Seattle Center,47,36.3,R,A
White,M,Seattle City Light,34,49.01,T,A
White,M,Seattle City Light,61,39.86,R,A
White,M,Seattle City Light,68,50.18,R,A
White,M,Seattle City Light,41,32.35,R,A
White,M,Municipal Court,58,49.33,R,A
White,F,Police Department,57,61.8,R,A
White,F,Police Department,51,58.22,R,A
White,M,Fire Department,35,40.87,R,A
White,M,Parks & Recreation,57,31.18,R,A
White,M,Police Department,33,52.09,R,A
White,F,Police Department,58,107.6985,R,A
White,F,Information Technology,69,59.102,R,A
White,M,Seattle Public Utilities,34,18.65,R,A
White,F,Law Department,46,64.956,R,A
White,F,Education & Early Learning,49,35.43,R,A
White,M,Seattle City Light,36,50.36,R,A
White,F,Parks & Recreation,31,22.59,T,A
White,F,Information Technology,47,60.109,R,A
White,M,Seattle Public Utilities,33,16.64,R,A
White,M,Parks & Recreation,48,16,T,A
White,F,Police Department,46,95.588,R,A
White,M,Seattle Public Utilities,48,31.69,R,A
White,M,Seattle Dept of Transportation,41,52.682,R,A
White,M,Human Services Department,44,29.29,R,A
White,M,Police Department,25,46.43,R,A
White,M,Seattle Public Utilities,56,48.09,R,A
White,M,Parks & Recreation,19,19.91,T,A
White,M,Parks & Recreation,19,16.92,T,A
White,F,Seattle City Light,27,37.59,R,A
White,M,Construction & Inspections,39,43.51,R,A
White,M,Law Department,33,36.13,R,A
White,F,Human Services Department,47,42.92,T,A
White,M,Seattle City Light,46,50.36,R,A
White,M,Finance & Admin Services,52,38.1,R,A
White,M,Police Department,27,46.43,R,A
White,M,Seattle Public Utilities,47,43.26,R,A
White,F,Seattle City Light,39,36.79,R,A
White,F,Neighborhoods,62,27.18,R,A
White,M,Seattle City Light,28,41.5,R,A
White,M,Parks & Recreation,36,17.24,R,A
White,M,Fire Department,49,50.11,R,A
White,M,Seattle Center,58,42.13,R,A
White,M,Legislative Department,33,36.38,R,A
White,F,Parks & Recreation,42,20.51,R,A
White,M,Fire Department,48,48.07,R,A
White,M,Police Department,48,55.91,R,A
White,M,Seattle City Light,50,77.353,R,A
White,F,Seattle Dept of Transportation,41,44.51,R,A
White,M,Seattle Dept of Human Resource,53,50,R,A
White,F,Information Technology,49,59.595,T,A
White,M,Finance & Admin Services,59,35.89,R,A
White,F,Seattle Public Library,34,23.46,R,L
White,F,Parks & Recreation,21,16.92,T,A
White,M,Seattle City Light,49,66.5559,R,A
White,M,Fire Department,49,44.38,R,A
White,F,Parks & Recreation,18,16.92,T,A
White,M,Police Department,29,44.75,R,A
White,M,Fire Department,35,34.58,R,A
White,M,Municipal Court,34,25.17,T,A
White,M,Seattle Public Utilities,55,30.76,R,A
White,F,City Budget Office,40,53.47,R,A
White,M,Police Department,31,39.01,R,A
White,M,Seattle Public Utilities,43,26.09,R,A
White,M,Fire Department,50,44.38,R,A
White,M,Seattle Public Library,68,23.01,R,A
White,M,Parks & Recreation,26,40.7745,R,A
White,M,Information Technology,50,56.39,R,A
White,M,Finance & Admin Services,59,37.72,R,A
White,M,Police Department,50,56.69,R,A
White,F,Law Department,48,27.18,R,A
White,F,Police Department,36,24.28,R,A
White,M,Seattle Public Utilities,45,34.37,R,A
White,M,Seattle Center,57,38.77,R,A
White,M,Seattle Dept of Transportation,52,37.84,R,A
White,M,Seattle City Light,47,54,R,A
White,M,Police Department,53,39.53,R,A
White,F,Construction & Inspections,65,45.26,R,A
White,M,Municipal Court,60,39.03,R,A
White,M,Police Department,23,41.83,R,A
White,F,Police Department,51,51.126,R,A
White,M,Police Department,55,60,R,A
White,M,Seattle City Light,48,26.9,R,A
White,M,Seattle Dept of Transportation,40,30.7,R,A
White,F,Legislative Department,52,59.08,R,A
White,M,Seattle Public Utilities,63,32.35,R,A
White,M,Information Technology,49,50.47,R,A
White,F,Seattle Dept of Transportation,69,24.28,T,A
White,M,Seattle City Light,36,50.36,R,A
White,F,Police Department,39,40.48,R,A
White,F,Seattle City Light,55,60.57,R,A
White,F,Police Department,35,44.57,R,A
White,F,Human Services Department,42,34.07,R,A
White,M,Parks & Recreation,69,16.92,T,A
White,M,Information Technology,60,52.178,R,A
White,M,Seattle City Light,57,41.06,R,A
White,M,Seattle Center,50,25.43,R,A
White,F,Police Department,57,30.71,R,A
White,F,Fire Department,54,44.38,R,A
White,F,Parks & Recreation,45,40.48,R,A
White,F,Seattle Dept of Transportation,63,61.739,R,A
White,F,Police Relief & Pension Fund,61,51.26,T,A
White,M,Fire Department,68,56.35,R,A
White,M,Seattle Center,47,31.26,T,A
White,F,Seattle Public Library,26,19.34,R,A
White,F,Parks & Recreation,34,16,T,A
White,F,Finance & Admin Services,47,27.18,R,A
White,F,Fire Department,65,45.676,R,A
White,F,Law Department,36,46.93,R,A
White,F,Seattle Dept of Transportation,55,48.09,R,A
White,M,Finance & Admin Services,77,35.89,R,A
White,M,Seattle Dept of Human Resource,45,47.13,R,A
White,M,Seattle Center,48,31.26,T,A
White,M,Seattle Center,64,56.76,R,A
White,F,Law Department,40,59.28,R,A
White,M,Seattle Center,24,16.11,T,A
White,M,Police Department,28,46.43,R,A
White,F,Seattle City Light,61,50.02,R,A
White,F,Information Technology,29,43.5,T,A
White,M,Police Department,47,66.69,R,A
White,M,Fire Department,63,49.55,R,A
White,F,Office of Labor Standards,34,37.43,R,A
White,M,Seattle Public Utilities,45,33.66,R,A
White,M,Seattle Public Utilities,52,67.646,R,A
White,M,Municipal Court,46,23,R,A
White,F,Seattle City Light,50,37.59,R,A
White,M,Seattle Center,51,16.14,R,A
White,F,Fire Department,59,56.894,R,A
White,M,Information Technology,36,55.074,R,A
White,M,Seattle Public Utilities,30,31.33,R,A
White,F,Seattle Center,61,16.11,T,A
White,F,Parks & Recreation,50,40.24,T,A
White,F,Seattle Public Utilities,40,56.37,R,A
White,F,Seattle City Light,49,55.6158,R,A
White,M,Information Technology,61,55.046,R,A
White,M,Seattle Center,70,34.42,T,A
White,F,Seattle City Light,61,51.65,R,A
White,M,Fire Department,50,57.5,R,A
White,M,Seattle City Light,55,50.36,R,A
White,F,Human Services Department,60,38.98,R,A
White,F,Seattle Public Utilities,32,32.81,R,A
White,M,Seattle City Light,30,34.76,R,A
White,M,Seattle Dept of Transportation,52,68.1,R,A
White,M,Seattle City Light,67,45.51,R,A
White,M,Seattle Center,43,40.48,R,A
White,F,Finance & Admin Services,61,51.122,R,A
White,M,Municipal Court,35,36.35,R,A
White,F,Parks & Recreation,37,22.16,R,A
White,M,Parks & Recreation,23,20.99,T,A
White,M,Seattle Center,57,25.43,R,A
White,M,Fire Department,42,34.58,R,A
White,M,Seattle City Light,46,47.18,R,A
White,M,Seattle City Light,56,51.31,R,A
White,M,Parks & Recreation,18,16.92,T,A
White,M,Seattle City Light,56,61.01,R,A
White,F,Police Department,59,58.46,R,A
White,M,Seattle Public Library,30,24.71,R,A
White,M,Seattle City Light,46,55.66,R,A
White,M,Seattle City Light,28,16.14,R,A
White,M,Fire Department,42,41.24,R,A
White,F,Seattle Dept of Transportation,31,53.439,R,A
White,M,Construction & Inspections,37,56.37,R,A
White,M,Seattle Public Utilities,58,51.884,R,A
White,M,Seattle City Light,32,16.14,R,A
White,F,Seattle Dept of Transportation,61,38.98,R,A
White,F,Intergovernment Relations,29,40.25,R,A
White,M,Parks & Recreation,48,27.18,R,A
White,F,Seattle Center,42,34.76,R,A
White,F,Planning & Comm Development,36,49,R,A
White,F,Human Services Department,41,48.13,R,A
White,F,Seattle City Light,48,38.98,T,A
White,F,Parks & Recreation,23,16.92,T,A
White,F,Seattle Public Utilities,47,58.53,R,A
White,F,Law Department,66,24.28,R,A
White,F,Finance & Admin Services,61,26.09,R,A
White,M,Seattle Public Utilities,59,68.11,R,A
White,F,Seattle City Light,58,50.18,R,A
White,F,Parks & Recreation,49,16.11,T,A
White,F,Seattle Public Utilities,41,23.32,R,A
White,F,Parks & Recreation,45,16.11,T,A
White,M,Parks & Recreation,16,16.92,T,A
White,M,Police Department,51,80.07,R,A
White,F,Police Department,54,30.71,R,A
White,M,Parks & Recreation,53,16,T,A
White,F,Seattle Public Library,17,16,R,A
White,M,Seattle Center,35,31.26,T,A
White,F,Law Department,62,46.372,R,A
White,M,Police Department,28,48.71,R,A
White,F,Seattle Public Utilities,52,32.35,T,A
White,M,Fire Department,42,38.28,R,A
White,F,Seattle Public Utilities,47,53.811,R,A
White,M,Seattle Public Utilities,35,58.45,R,A
White,M,Police Department,40,76.44,R,A
White,F,Police Department,43,58.46,R,A
White,M,Seattle Public Utilities,46,77.121,R,A
White,M,Seattle City Light,40,52.92,R,A
White,M,Police Department,33,25.24,R,A
White,M,Seattle City Light,31,56.66,R,A
White,F,Construction & Inspections,60,48.04,R,A
White,M,Police Department,46,44.75,R,A
White,M,Police Department,28,28.75,R,A
White,M,Fire Department,33,32.73,R,A
White,M,Fire Department,49,43.46,R,A
White,F,Police Department,52,30.71,R,A
White,M,Seattle Dept of Transportation,31,44.51,R,A
White,M,Seattle City Light,35,48.8506,R,A
